name,Ar,VE,AR ,EN,Ea,1st,BP,Co,Re,class_2
Mg,24.31,2,145,1.31,0,737.7,1363,1.47 ,8.80 ,0
Al,26.9815384,3,118,1.61,42.5,577.5,2792,3.43 ,5.01 ,0
Cr,51.9961,6,166,1.66,64.3,652.9,2944,4.29 ,6.66 ,0
Co,58.933194,9,152,1.88,63.7,760.4,3200,4.37 ,4.82 ,0
Ni,58.6934,10,149,1.91,112,737.1,3186,4.39 ,4.07 ,0
Cu,63.546,11,145,1.90,118.4,745.5,2835,3.44 ,6.70 ,0
Zn,65.38,12,142,1.65,0,906.4,1180,1.34 ,8.10 ,0
Nb,92.90637,5,198,1.6,86.1,652.1,5017,7.56 ,3.91 ,1
Mo,95.95,6,190,2.16,71.9,684.3,4912,6.79 ,5.99 ,0
Ru,101.07,8,178,2.2,101.3,710.2,4423,6.77 ,3.81 ,0
Ag,107.8682,11,165,1.93,125.6,731.0,2435,2.94 ,8.46 ,0
Rh,102.90549,9,173,2.28,109.7,719.7,3968,5.78 ,3.23 ,1
Pd,106.42,10,169,2.2,53.7,804.4,3236,3.92 ,3.63 ,0
In,114.818,3,156,1.78,28.9,558.3,2345,2.48 ,7.18 ,0
W,183.84,6,193,2.36,78.6,770,5828,8.84 ,8.20 ,0
Os,190.23,8,185,2.2,106.1,840,5285,8.18 ,4.33 ,1
Ir,192.217,9,180,2.2,151,880,4701,6.95 ,3.69 ,1
Pt,195.084,10,177,2.28,205.3,870,4098,5.88 ,3.43 ,1
Au,196.966570,11,174,2.54,222.8,890.1,3129,3.78 ,8.35 ,0
CuPt,258.63,10.24570235,169.1375246,2.186633105,183.9484654,839.4100568,3787.677926,4.60 ,6.80 ,0
Cu2Mg,151.397,9.555156311,145,1.805282469,99.39227858,744.2478021,2598.687788,2.90 ,9.60 ,0
CuTi,111.413,7.992550241,158.3187061,1.745331155,70.79636667,708.2505866,3146.485868,4.30 ,3.40 ,0
c-CuAl2,117.5090768,7.326201974,132.6009317,1.766824822,83.54484123,668.3502415,2815.253336,3.70 ,3.80 ,0
c2-Cu3Al,217.6195384,10.00812074,141.6524075,1.864044377,108.9895455,724.6705355,2829.668649,3.70 ,3.20 ,0
t-Cu2Al3,208.0366152,7.887293513,134.4946156,1.78716439,88.86819721,680.1331638,2818.269203,3.70 ,6.00 ,0
IrRu,293.287,8.655388749,179.3107775,2.2,133.8728208,821.4850096,4605.198072,8.40 ,5.10 ,1
NiIr3,635.3444,9.092380448,177.1362061,2.17320967,147.3971625,866.798834,4561.043622,6.50 ,4.80 ,0
IrRh,295.12249,9,177.5591883,2.227894991,136.5992109,824.1054118,4445.412145,6.40 ,3.60 ,1
OsRu,291.3,8,182.5712667,2.2,104.4345829,794.964346,4985.918847,7.40 ,4.20 ,0
MoNi2,213.3368,8.200966734,167.440091,2.022439579,93.96469151,713.3527609,3962.282854,5.20 ,5.70 ,0
CrNi2,169.3829,8.772105094,154.2185533,1.833256568,97.35735325,711.2528122,3111.712358,4.40 ,4.80 ,0
CoSn,177.643194,5.658751812,147.3222525,1.933459971,92.8356842,725.7846688,2982.818868,4.40 ,5.90 ,0
VPt2,441.1095,9.422575347,176.3070904,2.204934795,187.4344812,844.6972517,4049.727299,5.80 ,4.90 ,0
VNi2,168.3283,8.486840894,155.6579001,1.82526309,93.41840617,711.013137,3335.50012,5.00 ,4.50 ,0
AlNi,85.6749384,7.795495715,139.2371953,1.815521245,90.11242174,686.8373023,3061.917902,5.00 ,4.40 ,0
AlRu,128.0515384,6.946457858,165.3574943,2.075682027,88.91034441,682.2389916,4079.334553,6.90 ,3.80 ,1
Al3Sc,125.9006152,3,141.5669698,1.520731175,33.78736267,597.3533867,2903.050418,4.30 ,4.90 ,0
AlCu,90.5275384,8.615617181,136.952708,1.813566123,95.77816801,695.4279608,2822.183942,4.10 ,6.00 ,0
CuBe,72.5581831,9.882143344,140.9011923,1.859011923,103.6939747,764.6277694,2823.573021,3.75 ,5.52 ,0
CuNa,86.53576928,8.343321788,156.955052,1.642302213,100.9721909,679.162745,2388.943728,3.13 ,6.02 ,0
CuMg,87.851,8.510045418,145,1.736769644,85.64326416,743.3420394,2427.754095,3.40 ,5.24 ,0
CuK,102.6443,7.190894185,182.329237,1.488616572,91.7362593,621.056513,2148.218222,2.37 ,6.86 ,0
CuCa,103.624,7.519126843,163.9514205,1.551912684,73.52380974,685.2808944,2418.068749,3.10 ,6.26 ,0
CuCr,115.5421,8.749906744,154.4503917,1.791995524,94.05399097,703.8282729,2884.052033,3.95 ,5.33 ,0
CuCo,122.479194,10.03766196,148.3681832,1.89037662,92.08005449,752.6694184,3010.626693,3.92 ,5.39 ,0
CuNi,122.2394,10.51984876,146.920605,1.904801512,115.327032,741.4667295,3003.533087,3.77 ,6.11 ,0
CuZn,128.926,11.50711261,143.4786622,1.773221848,58.3578673,827.0944185,1995.728635,2.24 ,6.91 ,0
CuNb,156.45237,7.437010063,176.4730778,1.721850503,99.2192375,690.0361233,4130.740674,6.21 ,4.61 ,0
CuMo,159.496,7.992087576,172.0712118,2.056411446,90.42641446,708.6831519,4084.486821,6.04 ,3.69 ,1
CuRu,164.616,9.158076979,165.2611532,2.084192302,107.9010388,723.8267058,3809.991252,5.30 ,4.01 ,0
CuAg,171.4142,11,157.5856784,1.918878518,122.9308442,736.3753831,2583.286431,2.95 ,7.20 ,0
CuRh,166.45149,9.763537773,162.3104712,2.134927823,113.0213893,729.5496373,3535.455852,4.69 ,4.64 ,0
CuPd,169.966,10.37387477,160.0270054,2.087837568,77.88969794,782.3787758,3086.076215,3.82 ,4.80 ,0
CuCd,175.96,11.6388611,155.2217777,1.765839168,42.75884519,823.6327131,1688.244317,1.78 ,7.22 ,0
