compound_name,mp_id,formula,efermi,energy_above_hull,cif_file,status,composition
CuMo,nan,,,,,Not Found,
CuOs,nan,,,,,Not Found,
Cu2W,nan,,,,,Not Found,
Cu2Os,nan,,,,,Not Found,
Cu3W,mp-1183970,Cu3W,"(7.4336378100000005,)",,foound ID 89-cif\mp-1183970_Cu3W.cif,Success,Cu3 W1
Cu4W,nan,,,,,Not Found,
CoOs,mp-1226000,CoOs,"(7.13791189,)",,foound ID 89-cif\mp-1226000_CoOs.cif,Success,Co1 Os1
Co2Os,nan,,,,,Not Found,
Co3Os,mp-1183718,Co3Os,"(6.76684078,)",,foound ID 89-cif\mp-1183718_Co3Os.cif,Success,Co3 Os1
Co4W,nan,,,,,Not Found,
Co4Os,mp-1226016,Co4Os,"(5.7510394,)",,foound ID 89-cif\mp-1226016_Co4Os.cif,Success,Co4 Os1
RuBe,nan,,,,,Not Found,
RuRh,mp-1219503,RuRh,"(7.84041512,)",,foound ID 89-cif\mp-1219503_RuRh.cif,Success,Ru1 Rh1
Ru2Be,nan,,,,,Not Found,
Ru2Co,nan,,,,,Not Found,
Ru2Ni,nan,,,,,Not Found,
Ru2Cu,nan,,,,,Not Found,
Ru2Rh,nan,,,,,Not Found,
Ru2Pd,nan,,,,,Not Found,
Ru2Os,nan,,,,,Not Found,
Ru2Ir,nan,,,,,Not Found,
Ru3Be,mp-1183473,BeRu3,"(7.28523796,)",,foound ID 89-cif\mp-1183473_Ru3Be.cif,Success,Be1 Ru3
Ru3Al,nan,,,,,Not Found,
Ru3Cr,nan,,,,,Not Found,
Ru3Co,nan,,,,,Not Found,
Ru3Ni,nan,,,,,Not Found,
Ru3Cu,mp-1184121,CuRu3,"(7.78081972,)",,foound ID 89-cif\mp-1184121_Ru3Cu.cif,Success,Cu1 Ru3
Ru3Rh,mp-1186926,Ru3Rh,"(8.16513356,)",,foound ID 89-cif\mp-1186926_Ru3Rh.cif,Success,Ru6 Rh2
Ru3Pd,nan,,,,,Not Found,
Ru3Os,mp-974326,OsRu3,"(8.61862993,)",,foound ID 89-cif\mp-974326_Ru3Os.cif,Success,Os2 Ru6
Ru3Ir,mp-862620,IrRu3,"(8.95199114,)",,foound ID 89-cif\mp-862620_Ru3Ir.cif,Success,Ir2 Ru6
Ru4Be,nan,,,,,Not Found,
Ru4Mg,nan,,,,,Not Found,
Ru4Al,nan,,,,,Not Found,
Ru4Cr,nan,,,,,Not Found,
Ru4Co,nan,,,,,Not Found,
Ru4Ni,nan,,,,,Not Found,
Ru4Cu,nan,,,,,Not Found,
Ru4Zn,nan,,,,,Not Found,
Ru4Rh,nan,,,,,Not Found,
Ru4Pd,nan,,,,,Not Found,
Ru4Os,nan,,,,,Not Found,
Ru4Ir,nan,,,,,Not Found,
Ru4Pt,nan,,,,,Not Found,
Ru4V,mp-1216276,VRu4,"(7.6783912,)",,foound ID 89-cif\mp-1216276_Ru4V.cif,Success,V1 Ru4
RhOs,nan,,,,,Not Found,
Rh2Mo,nan,,,,,Not Found,
Rh2Ru,nan,,,,,Not Found,
Rh2Os,nan,,,,,Not Found,
Rh2Ir,nan,,,,,Not Found,
Rh3Nb,mp-2449,NbRh3,"(7.03111414,)",,foound ID 89-cif\mp-2449_Rh3Nb.cif,Success,Nb1 Rh3
Rh3Nb,mp-1186230,NbRh3,"(6.73238713,)",,foound ID 89-cif\mp-1186230_Rh3Nb.cif,Success,Nb2 Rh6
Rh3Nb,mp-1191559,NbRh3,"(6.69776811,)",,foound ID 89-cif\mp-1191559_Rh3Nb.cif,Success,Nb6 Rh18
Rh3Mo,mp-1221397,MoRh3,"(7.08411206,)",,foound ID 89-cif\mp-1221397_Rh3Mo.cif,Success,Mo1 Rh3
Rh3Mo,mp-30787,MoRh3,"(7.73792742,)",,foound ID 89-cif\mp-30787_Rh3Mo.cif,Success,Mo2 Rh6
Rh3Ru,mp-974335,RuRh3,"(7.53236038,)",,foound ID 89-cif\mp-974335_Rh3Ru.cif,Success,Ru1 Rh3
Rh3Ru,mp-974341,RuRh3,"(7.44259009,)",,foound ID 89-cif\mp-974341_Rh3Ru.cif,Success,Ru2 Rh6
Rh3Os,mp-1186377,OsRh3,"(7.55574361,)",,foound ID 89-cif\mp-1186377_Rh3Os.cif,Success,Os2 Rh6
